PFL_Name,Real_Player_Name,Team,Position,PFL_Contract_Value,PFL_Contract_Years,Real_Contract_Value,Real_Contract_Years,Status,Difference
Elmore Hanken,N/A,Los Angeles A Chargers,SS,77.532,4,N/A,N/A,NO_TEST_MATCH,N/A
Jerricho Gudauskas,Joe Thuney,Chicago Bears,LG,35000000.0,2,35000000.0,2.0,CORRECT,0.0
Jahine Gregg,Mike Evans,Tampa Bay Buccaneers,WR,41000000.0,2,41000000.0,2.0,CORRECT,0.0
Seaman Chappell,Nnamdi Madubuike,Baltimore Ravens,DT,98000000.0,4,98000000.0,4.0,CORRECT,0.0
Oronde Lanham,N/A,Los Angeles A Chargers,LT,100.0,4,N/A,N/A,NO_TEST_MATCH,N/A
Garin Verstegen,Travis Kelce,Kansas City Chiefs,TE,34250000.0,2,34250000.0,2.0,CORRECT,0.0
Woodchuck Hews,Vita Vea,Tampa Bay Buccaneers,DT,71000000.0,4,71000000.0,4.0,CORRECT,0.0
Linval Dufek,Xavier McKinney,Green Bay Packers,SS,67000000.0,4,67000000.0,4.0,CORRECT,0.0
Morlon Bohren,Bijan Robinson,Atlanta Falcons,HB,21958535.0,4,21958535.0,4.0,CORRECT,0.0
Boni Vainowski,Budda Baker,Arizona Cardinals,SS,54000000.0,3,54000000.0,3.0,CORRECT,0.0
Teyo Alecxih,Christian Darrisaw,Minnesota Vikings,LT,104000000.0,4,104000000.0,4.0,CORRECT,0.0
Stefan Kiley,Jeffery Simmons,Tennessee Titans,DT,94000000.0,4,94000000.0,4.0,CORRECT,0.0
Wilber Sundberg,Marlon Humphrey,Baltimore Ravens,CB,97500000.0,5,97500000.0,5.0,CORRECT,0.0
Rik Archie,Minkah Fitzpatrick,Miami Dolphins,FS,73612235.0,4,73612235.0,4.0,CORRECT,0.0
Mortty Budness,Quenton Nelson,Indianapolis Colts,LG,80000000.0,4,80000000.0,4.0,CORRECT,0.0
Tamarick Rivera,Trey Hendrickson,Cincinnati Bengals,RE,21000000.0,1,21000000.0,1.0,CORRECT,0.0
Raheem Klingbeil,Trey McBride,Arizona Cardinals,TE,76000000.0,4,76000000.0,4.0,CORRECT,0.0
Stub Stutz,Antoine Winfield Jr.,Tampa Bay Buccaneers,FS,84100000.0,4,84100000.0,4.0,CORRECT,0.0
Moise Foruria,Bobby Wagner,Washington Commanders,MLB,9000000.0,1,9000000.0,1.0,CORRECT,0.0
Butler Maidlow,Danielle Hunter,Houston Texans,RE,35600000.0,1,35600000.0,1.0,CORRECT,0.0
Wasswa Weldin,Dion Dawkins,Buffalo Bills,LT,60060000.0,3,60060000.0,3.0,CORRECT,0.0
Burl Treaudo,Drake London,Atlanta Falcons,WR,21534468.0,4,21534468.0,4.0,CORRECT,0.0
Reuben Tittle,Jaire Alexander,Baltimore Ravens,CB,4000000.0,1,4000000.0,1.0,CORRECT,0.0
Jamar Lemon,Joe Mixon,Houston Texans,HB,25500000.0,3,25500000.0,3.0,CORRECT,0.0
Brig Ojinnaka,Kevin Zeitler,Tennessee Titans,RG,9000000.0,1,9000000.0,1.0,CORRECT,0.0
Percy Urch,Mark Andrews,Baltimore Ravens,TE,56000000.0,4,56000000.0,4.0,CORRECT,0.0
Jabar Paul,N/A,New York A Jets,DT,96.0,4,N/A,N/A,NO_TEST_MATCH,N/A
Elmo Hayworth,Brock Bowers,Las Vegas Raiders,TE,18138784.0,4,18138784.0,4.0,CORRECT,0.0
Brent Prochaska,N/A,Los Angeles N Rams,WR,43.0,2,N/A,N/A,NO_TEST_MATCH,N/A
Scoop Weeks,N/A,New Orleans,MLB,19.25,2,N/A,N/A,NO_TEST_MATCH,N/A
Gates Wittum,Denzel Ward,Cleveland Browns,CB,100500000.0,5,100500000.0,5.0,CORRECT,0.0
Merton Horan,Jalen Carter,Philadelphia Eagles,DT,21806014.0,4,21806014.0,4.0,CORRECT,0.0
Trace Alama-Francis,N/A,Jacksonville,RE,100.0,5,N/A,N/A,NO_TEST_MATCH,N/A
Glenn Absher,Josh Jacobs,Green Bay Packers,HB,48000000.0,4,48000000.0,4.0,CORRECT,0.0
Viliami Maumau,Kerby Joseph,Detroit Lions,FS,86000000.0,4,86000000.0,4.0,CORRECT,0.0
Mitch Weller,Kyle Hamilton,Baltimore Ravens,SS,16255085.0,4,16255085.0,4.0,CORRECT,0.0
Da'Mon Kramer,Ronnie Stanley,Baltimore Ravens,LT,60000000.0,3,60000000.0,3.0,CORRECT,0.0
Vashone Waldsmith,Trey Smith,Kansas City Chiefs,RG,94000000.0,4,94000000.0,4.0,CORRECT,0.0
Lum Reisner,Brian Branch,Detroit Lions,SS,8021730.0,4,8021730.0,4.0,CORRECT,0.0
Paddy Shinners,David Njoku,Cleveland Browns,TE,54750000.0,4,54750000.0,4.0,CORRECT,0.0
Hosea Ortego,DeVonta Smith,Philadelphia Eagles,WR,75000000.0,3,75000000.0,3.0,CORRECT,0.0
Tillie Orduna,N/A,New Orleans,C,58.0,5,N/A,N/A,NO_TEST_MATCH,N/A
D'Wayne Schleich,Garett Bolles,Denver Broncos,LT,82000000.0,4,82000000.0,4.0,CORRECT,0.0
Jamari Sillin,James Cook,Buffalo Bills,HB,46000000.0,4,46000000.0,4.0,CORRECT,0.0
Ferrell Mcgeoghan,Jaylon Johnson,Chicago Bears,CB,76000000.0,4,76000000.0,4.0,CORRECT,0.0
Shea Randle,Nico Collins,Houston Texans,WR,72750000.0,3,72750000.0,3.0,CORRECT,0.0
Allen Nomellini,Will Anderson,Houston Texans,LE,35212827.0,4,35212827.0,4.0,CORRECT,0.0
Durwood Huckleby,A.J. Terrell,Atlanta Falcons,CB,81000000.0,4,81000000.0,4.0,CORRECT,0.0
Smiley Alexis,Alex Highsmith,Pittsburgh Steelers,RE,68000000.0,4,68000000.0,4.0,CORRECT,0.0
Trell Mikeska,N/A,New York N Giants,LT,117.5,5,N/A,N/A,NO_TEST_MATCH,N/A
Dez Pitts,DeForest Buckner,Indianapolis Colts,DT,46000000.0,2,46000000.0,2.0,CORRECT,0.0
Letroy Manusky,Devon Witherspoon,Seattle Seahawks,CB,31861153.0,4,31861153.0,4.0,CORRECT,0.0
Corky Garza,Greg Rousseau,Buffalo Bills,LE,80000000.0,4,80000000.0,4.0,CORRECT,0.0
Jehuu Deratt,Harrison Smith,Minnesota Vikings,FS,10250000.0,2,10250000.0,2.0,CORRECT,0.0
Evander Te'O-Nesheim,Jonathan Taylor,Indianapolis Colts,HB,42000000.0,3,42000000.0,3.0,CORRECT,0.0
Britton Sensabaugh,Jonathan Allen,Minnesota Vikings,DT,51000000.0,3,51000000.0,3.0,CORRECT,0.0
Anderson Daprato,Kenneth Walker III,Seattle Seahawks,HB,10.441581,4,N/A,N/A,NO_CONTRACT_FOUND,N/A
Navorro Tharpe,Kenny Moore,Indianapolis Colts,CB,30000000.0,3,30000000.0,3.0,CORRECT,0.0
Jeris Jacquet,Kyle Juszczyk,San Francisco 49ers,FB,7500000.0,2,7500000.0,2.0,CORRECT,0.0
Davin Rasheed,Landon Dickerson,Philadelphia Eagles,LG,84000000.0,4,84000000.0,4.0,CORRECT,0.0
Ellsworth Houston,Lavonte David,Tampa Bay Buccaneers,MLB,9000000.0,1,9000000.0,1.0,CORRECT,0.0
Vic Stanton,N/A,Los Angeles N Rams,QB,83.0,2,N/A,N/A,NO_TEST_MATCH,N/A
Dainon Paremore,N/A,Los Angeles N Rams,WR,6.084977,4,N/A,N/A,NO_TEST_MATCH,N/A
Duane Bechtol,Stefon Diggs,New England Patriots,WR,63500000.0,3,63500000.0,3.0,CORRECT,0.0
Curvin Smeja,T.J. Hockenson,Minnesota Vikings,TE,66000000.0,4,66000000.0,4.0,CORRECT,0.0
Cullen Snider,Tyler Smith,Dallas Cowboys,LG,13389123.0,4,13389123.0,4.0,CORRECT,0.0
Morgan Murchison,Tyler Linderbaum,Baltimore Ravens,C,13238286.0,4,13238286.0,4.0,CORRECT,0.0
Rueben Meachem,Zack Baun,Philadelphia Eagles,ROLB,51000000.0,3,51000000.0,3.0,CORRECT,0.0
Royce Specht,Brandon Aubrey,Dallas Cowboys,K,2695000.0,3,2695000.0,3.0,CORRECT,0.0
Ellison Lantz,Brandon Aiyuk,San Francisco 49ers,WR,120000000.0,4,120000000.0,4.0,CORRECT,0.0
Clare Fryar,Bucky Irving,Tampa Bay Buccaneers,HB,4751552.0,4,4751552.0,4.0,CORRECT,0.0
Hector Goerke,Charvarius Ward,Indianapolis Colts,CB,54000000.0,3,54000000.0,3.0,CORRECT,0.0
Leigh Mccoo,Dallas Goedert,Philadelphia Eagles,TE,10000000.0,1,10000000.0,1.0,CORRECT,0.0
Ken-Yon Dombrowski,DaRon Bland,Dallas Cowboys,CB,3964788.0,4,3964788.0,4.0,CORRECT,0.0
Coley O'Donnell,DeMarcus Lawrence,Seattle Seahawks,LE,32500000.0,3,32500000.0,3.0,CORRECT,0.0
Proc Zalejski,Elgton Jenkins,Green Bay Packers,C,68000000.0,4,68000000.0,4.0,CORRECT,0.0
Mirro Obrovac,N/A,Jacksonville,MLB,29.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Dat Ervins,Jared Goff,Detroit Lions,QB,212000000.0,4,212000000.0,4.0,CORRECT,0.0
Lavern Weir,N/A,New Orleans,FS,29.5,3,N/A,N/A,NO_TEST_MATCH,N/A
Gonzalo Doren,N/A,Los Angeles A Chargers,RE,18.0,1,N/A,N/A,NO_TEST_MATCH,N/A
Sampson Ramirez,Kolton Miller,Las Vegas Raiders,LT,66000000.0,3,66000000.0,3.0,CORRECT,0.0
Yamon Godfrey,Leonard Williams,Seattle Seahawks,DT,64500000.0,3,64500000.0,3.0,CORRECT,0.0
Chief Rorison,N/A,New York N Giants,WR,29.20775,4,N/A,N/A,NO_TEST_MATCH,N/A
Stumpy Fine,Nick Chubb,Houston Texans,HB,2500000.0,1,2500000.0,1.0,CORRECT,0.0
'Omar Truluck,Sam Cosmi,Washington Commanders,RG,73.0,4,N/A,N/A,NO_CONTRACT_FOUND,N/A
Ade Stallworth,Taylor Decker,Detroit Lions,LT,60000000.0,3,60000000.0,3.0,CORRECT,0.0
Tip Studwell,Tee Higgins,Cincinnati Bengals,WR,115000000.0,4,115000000.0,4.0,CORRECT,0.0
Larrye Haverdink,Zach Tom,Green Bay Packers,RT,88000000.0,4,88000000.0,4.0,CORRECT,0.0
Brady Keck,N/A,New York N Giants,MLB,40.0,4,N/A,N/A,NO_TEST_MATCH,N/A
Altie Kapter,Brian O'Neill,Minnesota Vikings,RT,92500000.0,5,92500000.0,5.0,CORRECT,0.0
Dunc Trimble,N/A,New York N Giants,RE,100.0,5,N/A,N/A,NO_TEST_MATCH,N/A
Eldon Stansauk,N/A,New Orleans,WR,20.271874,4,N/A,N/A,NO_TEST_MATCH,N/A
Mick Kelm,Cooper Kupp,Seattle Seahawks,WR,45000000.0,3,45000000.0,3.0,CORRECT,0.0
Naaman Munsey,D.J. Moore,Chicago Bears,WR,110000000.0,4,110000000.0,4.0,CORRECT,0.0
Marcello Matesic,Dre Greenlaw,Denver Broncos,MLB,31500000.0,3,31500000.0,3.0,CORRECT,0.0
Damien Forbath,N/A,New York A Jets,WR,100.0,4,N/A,N/A,NO_TEST_MATCH,N/A
Mush Statuto,Jabrill Peppers,New England Patriots,FS,24000000.0,3,24000000.0,3.0,CORRECT,0.0
Chester Schick,Jake Matthews,Atlanta Falcons,LT,45000000.0,2,45000000.0,2.0,CORRECT,0.0
Loren Ferris,Jalen Hurts,Philadelphia Eagles,QB,255000000.0,5,255000000.0,5.0,CORRECT,0.0
Francis Barber,Jamel Dean,Tampa Bay Buccaneers,CB,52000000.0,4,52000000.0,4.0,CORRECT,0.0
Dixie Peed,N/A,Los Angeles N Rams,LE,16.134346,4,N/A,N/A,NO_TEST_MATCH,N/A
Kaulana Iwanowski,Jaxon Smith-Njigba,Seattle Seahawks,WR,14417307.0,4,14417307.0,4.0,CORRECT,0.0
Tahaun Galazin,Jaycee Horn,Carolina Panthers,CB,100000000.0,4,100000000.0,4.0,CORRECT,0.0
Novo Sherwin,Julian Love,Seattle Seahawks,FS,33000000.0,3,33000000.0,3.0,CORRECT,0.0
Rogerick Bird,N/A,Los Angeles A Chargers,QB,100.0,5,N/A,N/A,NO_TEST_MATCH,N/A
Tre Stincic,N/A,Los Angeles N Rams,HB,35.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Christian Hemphill,Marshon Lattimore,Washington Commanders,CB,97603000.0,5,97603000.0,5.0,CORRECT,0.0
Allan Koziak,Sam LaPorta,Detroit Lions,TE,9465990.0,4,9465990.0,4.0,CORRECT,0.0
Kendal Titensor,Tariq Woolen,Seattle Seahawks,CB,3992216.0,4,3992216.0,4.0,CORRECT,0.0
Gifford Amaya,Taylor Moton,Carolina Panthers,RT,35000000.0,2,35000000.0,2.0,CORRECT,0.0
Chad Primeau,Tony Pollard,Tennessee Titans,HB,21750000.0,3,21750000.0,3.0,CORRECT,0.0
Rat Sigillo,Zach Allen,Denver Broncos,DT,102000000.0,4,102000000.0,4.0,CORRECT,0.0
Pannel Danmeier,A.J. Cole,Las Vegas Raiders,P,15800000.0,4,15800000.0,4.0,CORRECT,0.0
Tai Coryatt,Aaron Jones,Minnesota Vikings,HB,20000000.0,2,20000000.0,2.0,CORRECT,0.0
Josh Sutherland,Baker Mayfield,Tampa Bay Buccaneers,QB,100000000.0,3,100000000.0,3.0,CORRECT,0.0
Earle Sossamon,Bernhard Raimann,Indianapolis Colts,LT,100000000.0,4,100000000.0,4.0,CORRECT,0.0
Wood Smukler,Byron Murphy,Minnesota Vikings,CB,54000000.0,3,54000000.0,3.0,CORRECT,0.0
Wilkie Sirochman,Carlton Davis III,New England Patriots,CB,53.0,3,N/A,N/A,NO_CONTRACT_FOUND,N/A
Trevard Turnure,Chris Boswell,Pittsburgh Steelers,K,20000000.0,4,20000000.0,4.0,CORRECT,0.0
Rokevious Jacoby,Chris Godwin,Tampa Bay Buccaneers,WR,66000000.0,3,66000000.0,3.0,CORRECT,0.0
Abe Engram,Christian Benford,Buffalo Bills,CB,69000000.0,4,69000000.0,4.0,CORRECT,0.0
Javin Perko,Chuba Hubbard,Carolina Panthers,HB,33200000.0,4,33200000.0,4.0,CORRECT,0.0
Onzy Ivory,Courtland Sutton,Denver Broncos,WR,92000000.0,4,92000000.0,4.0,CORRECT,0.0
Aldrick Steinke,D.J. Reader,Detroit Lions,DT,22000000.0,2,22000000.0,2.0,CORRECT,0.0
Wilford Hajek,D.K. Metcalf,Pittsburgh Steelers,WR,132000000.0,4,132000000.0,4.0,CORRECT,0.0
Wallace Hand,N/A,Jacksonville,ROLB,11.936605,4,N/A,N/A,NO_TEST_MATCH,N/A
Armanti Bracken,Evan Engram,Denver Broncos,TE,23000000.0,2,23000000.0,2.0,CORRECT,0.0
Dextor Mccants,Grover Stewart,Indianapolis Colts,DT,39000000.0,3,39000000.0,3.0,CORRECT,0.0
Issiac Skrepenak,James Conner,Arizona Cardinals,HB,19000000.0,2,19000000.0,2.0,CORRECT,0.0
Dylan Wills,Jayden Daniels,Washington Commanders,QB,37746650.0,4,37746650.0,4.0,CORRECT,0.0
Tracy Lusk,Jaylen Waddle,Miami Dolphins,WR,84750000.0,3,84750000.0,3.0,CORRECT,0.0
Keenan Frampton,Joel Bitonio,Cleveland Browns,LG,15000000.0,1,15000000.0,1.0,CORRECT,0.0
Tremain Dally,Joey Bosa,Buffalo Bills,RE,12610000.0,1,12610000.0,1.0,CORRECT,0.0
Levi Curzon,Josh Sweat,Arizona Cardinals,RE,76400000.0,4,76400000.0,4.0,CORRECT,0.0
Aundray Wadsworth,N/A,Los Angeles N Rams,RG,47.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Usama Stofer,N/A,Los Angeles N Rams,DT,5.391474,4,N/A,N/A,NO_TEST_MATCH,N/A
Fran Josue,Milton Williams,New England Patriots,DT,104000000.0,4,104000000.0,4.0,CORRECT,0.0
Roscoe Rymkus,Quinyon Mitchell,Philadelphia Eagles,CB,14818096.0,4,14818096.0,4.0,CORRECT,0.0
Curley Kohl,Spencer Brown,Buffalo Bills,RT,72000000.0,4,72000000.0,4.0,CORRECT,0.0
Guy Mello,Trent Brown,Houston Texans,RT,3.35,1,N/A,N/A,NO_CONTRACT_FOUND,N/A
Warner Scardine,Zay Flowers,Baltimore Ravens,WR,14036434.0,4,14036434.0,4.0,CORRECT,0.0
Bashir Cordova,N/A,New York A Jets,RG,13.885028,4,N/A,N/A,NO_TEST_MATCH,N/A
Jabara Rattay,N/A,New Orleans,HB,25.5,2,N/A,N/A,NO_TEST_MATCH,N/A
Pratt Hurley,N/A,New York A Jets,HB,7.014774,4,N/A,N/A,NO_TEST_MATCH,N/A
Eldred Delhomme,N/A,Jacksonville,WR,13.659978,4,N/A,N/A,NO_TEST_MATCH,N/A
Adrian Brovelli,Brock Purdy,San Francisco 49ers,QB,265000000.0,5,265000000.0,5.0,CORRECT,0.0
Shipwreck Dalby,C.J. Gardner-Johnson,Houston Texans,SS,25.0,3,N/A,N/A,NO_CONTRACT_FOUND,N/A
Terance Monahan,Dak Prescott,Dallas Cowboys,QB,240000000.0,4,240000000.0,4.0,CORRECT,0.0
Martay Tuaolo,Darius Slay,Pittsburgh Steelers,CB,10000000.0,1,10000000.0,1.0,CORRECT,0.0
Bake Choice,David Montgomery,Detroit Lions,HB,18250000.0,2,18250000.0,2.0,CORRECT,0.0
Knowshon Partridge,Drue Tranquill,Kansas City Chiefs,ROLB,19000000.0,3,19000000.0,3.0,CORRECT,0.0
Antwaan Haggerty,George Karlaftis,Kansas City Chiefs,LE,88000000.0,4,88000000.0,4.0,CORRECT,0.0
Tyson Gavin,Jack Campbell,Detroit Lions,MLB,14722004.0,4,14722004.0,4.0,CORRECT,0.0
Rashawn Schable,Jerry Jeudy,Cleveland Browns,WR,52500000.0,3,52500000.0,3.0,CORRECT,0.0
Ropati Clime,Jordan Addison,Minnesota Vikings,WR,13731739.0,4,13731739.0,4.0,CORRECT,0.0
Arunas Esser,L'Jarius Sneed,Tennessee Titans,CB,76400000.0,4,76400000.0,4.0,CORRECT,0.0
Harlon Peterman,N/A,Los Angeles A Chargers,WR,8.995186,4,N/A,N/A,NO_TEST_MATCH,N/A
Shiner Botchan,Leo Chenal,Kansas City Chiefs,LOLB,5044908.0,4,5044908.0,4.0,CORRECT,0.0
Randal Pontbriand,Matt Milano,Buffalo Bills,ROLB,6306500.0,1,6306500.0,1.0,CORRECT,0.0
Thane Birney,Nik Bonitto,Denver Broncos,RE,5801890.0,4,5801890.0,4.0,CORRECT,0.0
Travelle Olivea,Paris Johnson,Arizona Cardinals,LT,28052454.0,4,28052454.0,4.0,CORRECT,0.0
Tarik Gladchuk,Pat Freiermuth,Pittsburgh Steelers,TE,48400000.0,4,48400000.0,4.0,CORRECT,0.0
Marquand Hickerson,N/A,Los Angeles N Rams,RT,32.5,3,N/A,N/A,NO_TEST_MATCH,N/A
Ermal Stegall,Talanoa Hufanga,Denver Broncos,SS,39000000.0,3,39000000.0,3.0,CORRECT,0.0
Nesby Ragsdale,Taron Johnson,Buffalo Bills,CB,30750000.0,3,30750000.0,3.0,CORRECT,0.0
Joyce Blackwood,N/A,Jacksonville,CB,46.649126,4,N/A,N/A,NO_TEST_MATCH,N/A
Brant Raines,Trevon Diggs,Dallas Cowboys,CB,97000000.0,5,97000000.0,5.0,CORRECT,0.0
Jo Ottis,Zach Frazier,Pittsburgh Steelers,C,7544214.0,4,7544214.0,4.0,CORRECT,0.0
Verdi Ursella,Zach Sieler,Miami Dolphins,DT,67750000.0,3,67750000.0,3.0,CORRECT,0.0
Ashton Ghee,Alim McNeill,Detroit Lions,DT,97000000.0,4,97000000.0,4.0,CORRECT,0.0
Abner Slackford,Andrew Van Ginkel,Minnesota Vikings,RE,23000000.0,1,23000000.0,1.0,CORRECT,0.0
Audie Hobbs,Ashton Jeanty,Las Vegas Raiders,HB,35895812.0,4,35895812.0,4.0,CORRECT,0.0
Reynold Rockford,Blake Cashman,Minnesota Vikings,MLB,22500000.0,3,22500000.0,3.0,CORRECT,0.0
Juddy Tackett,Braden Smith,Indianapolis Colts,RT,70000000.0,4,70000000.0,4.0,CORRECT,0.0
Blane Berra,Brandon Jones,Denver Broncos,FS,20000000.0,3,20000000.0,3.0,CORRECT,0.0
Sandy Sacrinty,Charles Cross,Seattle Seahawks,LT,21383626.0,4,21383626.0,4.0,CORRECT,0.0
Carson Luckhurst,Chidobe Awuzie,Baltimore Ravens,CB,1255000.0,1,1255000.0,1.0,CORRECT,0.0
Alex Rifenburg,Cooper DeJean,Philadelphia Eagles,CB,9283622.0,4,9283622.0,4.0,CORRECT,0.0
Deltha Borden,D.J. Reed,Detroit Lions,CB,48000000.0,3,48000000.0,3.0,CORRECT,0.0
August Kern,Daron Payne,Washington Commanders,DT,90000000.0,4,90000000.0,4.0,CORRECT,0.0
Scotty Dansby,N/A,Los Angeles A Chargers,ROLB,3.420421,4,N/A,N/A,NO_TEST_MATCH,N/A
Jamaica Finsterwald,Damien Lewis,Carolina Panthers,LG,53000000.0,4,53000000.0,4.0,CORRECT,0.0
Ahmed Berti,Devon Achane,Miami Dolphins,HB,5437449.0,4,5437449.0,4.0,CORRECT,0.0
Tydus Hartman,Deebo Samuel,Washington Commanders,WR,17545529.0,1,17545529.0,1.0,CORRECT,0.0
Bradlee Crayton,Dominick Puni,San Francisco 49ers,RG,5700548.0,4,5700548.0,4.0,CORRECT,0.0
Kato Mallett,George Pickens,Dallas Cowboys,WR,6752179.0,4,6752179.0,4.0,CORRECT,0.0
Rashard Awasom,Hunter Henry,New England Patriots,TE,27000000.0,3,27000000.0,3.0,CORRECT,0.0
Earl Greenlee,Isiah Pacheco,Kansas City Chiefs,HB,3739108.0,4,3739108.0,4.0,CORRECT,0.0
Almon Azumah,Jakobi Meyers,Las Vegas Raiders,WR,33000000.0,3,33000000.0,3.0,CORRECT,0.0
Sherwood Dibernardo,Jalen Pitre,Houston Texans,FS,39000000.0,3,39000000.0,3.0,CORRECT,0.0
Kailee Talbert,Jaquan Brisker,Chicago Bears,SS,7355540.0,4,7355540.0,4.0,CORRECT,0.0
Ramos Hoese,Jeremiah Owusu-Koramoah,Cleveland Browns,ROLB,37500000.0,3,37500000.0,3.0,CORRECT,0.0
Emile Fena,Jeremy Chinn,Las Vegas Raiders,SS,16258000.0,2,16258000.0,2.0,CORRECT,0.0
Jamain Angelo,N/A,New York N Giants,FS,44.3,3,N/A,N/A,NO_TEST_MATCH,N/A
