PFL_Name,Team,Position,PFL_Contract_Value,PFL_Contract_Years,Real_Contract_Value,Real_Contract_Years,Status,Difference
Stefan Kiley,Tennessee Titans,DT,94000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Wilber Sundberg,Baltimore Ravens,CB,97500000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rik Archie,Miami Dolphins,S,73612235.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Mortty Budness,Indianapolis Colts,G,80000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tamarick Rivera,Cincinnati Bengals,DE,21000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Raheem Klingbeil,Arizona Cardinals,TE,76000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Stub Stutz,Tampa Bay Buccaneers,S,84100000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Moise Foruria,Washington Commanders,ILB,9000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Butler Maidlow,Houston Texans,DE,35600000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Wasswa Weldin,Buffalo Bills,LT,60060000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Burl Treaudo,Atlanta Falcons,WR,21534468.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Reuben Tittle,Baltimore Ravens,CB,4000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jamar Lemon,Houston Texans,RB,25500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Brig Ojinnaka,Tennessee Titans,G,9000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Percy Urch,Baltimore Ravens,TE,56000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jabar Paul,New York A Jets,DT,96.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Elmo Hayworth,Las Vegas Raiders,TE,18138784.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Brent Prochaska,Los Angeles N Rams,WR,43.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Scoop Weeks,New Orleans,ILB,19.25,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Gates Wittum,Cleveland Browns,CB,100500000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Merton Horan,Philadelphia Eagles,DT,21806014.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Trace Alama-Francis,Jacksonville,DE,100.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Glenn Absher,Green Bay Packers,RB,48000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Viliami Maumau,Detroit Lions,S,86000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Mitch Weller,Baltimore Ravens,S,16255085.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Da'Mon Kramer,Baltimore Ravens,LT,60000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Vashone Waldsmith,Kansas City Chiefs,G,94000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Lum Reisner,Detroit Lions,S,8021730.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Paddy Shinners,Cleveland Browns,TE,54750000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Hosea Ortego,Philadelphia Eagles,WR,75000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tillie Orduna,New Orleans,C,58.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
D'Wayne Schleich,Denver Broncos,LT,82000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jamari Sillin,Buffalo Bills,RB,46000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ferrell Mcgeoghan,Chicago Bears,CB,76000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Shea Randle,Houston Texans,WR,72750000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Allen Nomellini,Houston Texans,DE,35212827.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Durwood Huckleby,Atlanta Falcons,CB,81000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Smiley Alexis,Pittsburgh Steelers,DE,68000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Trell Mikeska,New York N Giants,LT,117.5,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dez Pitts,Indianapolis Colts,DT,46000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Letroy Manusky,Seattle Seahawks,CB,31861153.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Corky Garza,Buffalo Bills,DE,80000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jehuu Deratt,Minnesota Vikings,S,10250000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Evander Te'O-Nesheim,Indianapolis Colts,RB,42000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Britton Sensabaugh,Minnesota Vikings,DT,51000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Anderson Daprato,Seattle Seahawks,RB,10.441581,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Navorro Tharpe,Indianapolis Colts,CB,30000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jeris Jacquet,San Francisco 49ers,FB,7500000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Davin Rasheed,Philadelphia Eagles,G,84000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ellsworth Houston,Tampa Bay Buccaneers,ILB,9000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Vic Stanton,Los Angeles N Rams,QB,83.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dainon Paremore,Los Angeles N Rams,WR,6.084977,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Duane Bechtol,New England Patriots,WR,63500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Curvin Smeja,Minnesota Vikings,TE,66000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Cullen Snider,Dallas Cowboys,G,13389123.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Morgan Murchison,Baltimore Ravens,C,13238286.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rueben Meachem,Philadelphia Eagles,ROLB,51000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Royce Specht,Dallas Cowboys,K,2695000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ellison Lantz,San Francisco 49ers,WR,120000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Clare Fryar,Tampa Bay Buccaneers,RB,4751552.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Hector Goerke,Indianapolis Colts,CB,54000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Leigh Mccoo,Philadelphia Eagles,TE,10000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ken-Yon Dombrowski,Dallas Cowboys,CB,3964788.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Coley O'Donnell,Seattle Seahawks,DE,32500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Proc Zalejski,Green Bay Packers,C,68000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Mirro Obrovac,Jacksonville,ILB,29.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dat Ervins,Detroit Lions,QB,212000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Lavern Weir,New Orleans,S,29.5,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Gonzalo Doren,Los Angeles A Chargers,DE,18.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Sampson Ramirez,Las Vegas Raiders,LT,66000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Yamon Godfrey,Seattle Seahawks,DT,64500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Chief Rorison,New York N Giants,WR,29.20775,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Stumpy Fine,Houston Texans,RB,2500000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
'Omar Truluck,Washington Commanders,G,73.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ade Stallworth,Detroit Lions,LT,60000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tip Studwell,Cincinnati Bengals,WR,115000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Larrye Haverdink,Green Bay Packers,RT,88000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Brady Keck,New York N Giants,ILB,40.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Altie Kapter,Minnesota Vikings,RT,92500000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dunc Trimble,New York N Giants,DE,100.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Eldon Stansauk,New Orleans,WR,20.271874,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Mick Kelm,Seattle Seahawks,WR,45000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Naaman Munsey,Chicago Bears,WR,110000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Marcello Matesic,Denver Broncos,ILB,31500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Damien Forbath,New York A Jets,WR,100.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Mush Statuto,New England Patriots,S,24000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Chester Schick,Atlanta Falcons,LT,45000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Loren Ferris,Philadelphia Eagles,QB,255000000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Francis Barber,Tampa Bay Buccaneers,CB,52000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dixie Peed,Los Angeles N Rams,DE,16.134346,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Kaulana Iwanowski,Seattle Seahawks,WR,14417307.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tahaun Galazin,Carolina Panthers,CB,100000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Novo Sherwin,Seattle Seahawks,S,33000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rogerick Bird,Los Angeles A Chargers,QB,100.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tre Stincic,Los Angeles N Rams,RB,35.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Christian Hemphill,Washington Commanders,CB,97603000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Allan Koziak,Detroit Lions,TE,9465990.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Kendal Titensor,Seattle Seahawks,CB,3992216.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Gifford Amaya,Carolina Panthers,RT,35000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Chad Primeau,Tennessee Titans,RB,21750000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rat Sigillo,Denver Broncos,DT,102000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Pannel Danmeier,Las Vegas Raiders,P,15800000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tai Coryatt,Minnesota Vikings,RB,20000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Josh Sutherland,Tampa Bay Buccaneers,QB,100000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Earle Sossamon,Indianapolis Colts,LT,100000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Wood Smukler,Minnesota Vikings,CB,54000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Wilkie Sirochman,New England Patriots,CB,53.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Trevard Turnure,Pittsburgh Steelers,K,20000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rokevious Jacoby,Tampa Bay Buccaneers,WR,66000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Abe Engram,Buffalo Bills,CB,69000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Javin Perko,Carolina Panthers,RB,33200000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Onzy Ivory,Denver Broncos,WR,92000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Aldrick Steinke,Detroit Lions,DT,22000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Wilford Hajek,Pittsburgh Steelers,WR,132000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Wallace Hand,Jacksonville,ROLB,11.936605,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Armanti Bracken,Denver Broncos,TE,23000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dextor Mccants,Indianapolis Colts,DT,39000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Issiac Skrepenak,Arizona Cardinals,RB,19000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Dylan Wills,Washington Commanders,QB,37746650.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tracy Lusk,Miami Dolphins,WR,84750000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Keenan Frampton,Cleveland Browns,G,15000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tremain Dally,Buffalo Bills,DE,12610000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Levi Curzon,Arizona Cardinals,DE,76400000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Aundray Wadsworth,Los Angeles N Rams,G,47.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Usama Stofer,Los Angeles N Rams,DT,5.391474,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Fran Josue,New England Patriots,DT,104000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Roscoe Rymkus,Philadelphia Eagles,CB,14818096.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Curley Kohl,Buffalo Bills,RT,72000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Guy Mello,Houston Texans,RT,3.35,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Warner Scardine,Baltimore Ravens,WR,14036434.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Bashir Cordova,New York A Jets,G,13.885028,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jabara Rattay,New Orleans,RB,25.5,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Pratt Hurley,New York A Jets,RB,7.014774,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Eldred Delhomme,Jacksonville,WR,13.659978,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Adrian Brovelli,San Francisco 49ers,QB,265000000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Shipwreck Dalby,Houston Texans,S,25.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Terance Monahan,Dallas Cowboys,QB,240000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Martay Tuaolo,Pittsburgh Steelers,CB,10000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Bake Choice,Detroit Lions,RB,18250000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Knowshon Partridge,Kansas City Chiefs,ROLB,19000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Antwaan Haggerty,Kansas City Chiefs,DE,88000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tyson Gavin,Detroit Lions,ILB,14722004.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rashawn Schable,Cleveland Browns,WR,52500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ropati Clime,Minnesota Vikings,WR,13731739.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Arunas Esser,Tennessee Titans,CB,76400000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Harlon Peterman,Los Angeles A Chargers,WR,8.995186,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Shiner Botchan,Kansas City Chiefs,LOLB,5044908.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Randal Pontbriand,Buffalo Bills,ROLB,6306500.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Thane Birney,Denver Broncos,DE,5801890.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Travelle Olivea,Arizona Cardinals,LT,28052454.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tarik Gladchuk,Pittsburgh Steelers,TE,48400000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Marquand Hickerson,Los Angeles N Rams,RT,32.5,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ermal Stegall,Denver Broncos,S,39000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Nesby Ragsdale,Buffalo Bills,CB,30750000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Joyce Blackwood,Jacksonville,CB,46.649126,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Brant Raines,Dallas Cowboys,CB,97000000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jo Ottis,Pittsburgh Steelers,C,7544214.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Verdi Ursella,Miami Dolphins,DT,67750000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ashton Ghee,Detroit Lions,DT,97000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Abner Slackford,Minnesota Vikings,DE,23000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Audie Hobbs,Las Vegas Raiders,RB,35895812.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Reynold Rockford,Minnesota Vikings,ILB,22500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Juddy Tackett,Indianapolis Colts,RT,70000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Blane Berra,Denver Broncos,S,20000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Sandy Sacrinty,Seattle Seahawks,LT,21383626.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Carson Luckhurst,Baltimore Ravens,CB,1255000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Alex Rifenburg,Philadelphia Eagles,CB,9283622.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Deltha Borden,Detroit Lions,CB,48000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
August Kern,Washington Commanders,DT,90000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Scotty Dansby,Los Angeles A Chargers,ROLB,3.420421,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jamaica Finsterwald,Carolina Panthers,G,53000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Ahmed Berti,Miami Dolphins,RB,5437449.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tydus Hartman,Washington Commanders,WR,17545529.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Bradlee Crayton,San Francisco 49ers,G,5700548.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Kato Mallett,Dallas Cowboys,WR,6752179.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
